device,tid,sid,group,id,address,read_address,address_mpxa,address_mpxd,address_width,address_taw,address_tbb,read_address_mpxa,read_address_mpxd,read_address_width,type,len,factor,offset,unit,signed,min,max,persistent,protect,volatile,since,until,description
battery,0x50,0x58,status,vChannel12,,0x0c,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel13,,0x0d,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vCell01,,0x81,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell02,,0x82,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell03,,0x83,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell04,,0x84,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell05,,0x85,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell06,,0x86,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell07,,0x87,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell08,,0x88,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell09,,0x89,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell10,,0x8a,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell11,,0x8b,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
